"ADM1_PCODE","ADM1_EN","ADM2_PCODE","ADM2_EN","pop_total","pop_u5","n_communes"
"MG11","Analamanga","MG11101A","1er Arrondissement",95068.515625,11056.5234375,1
"MG11","Analamanga","MG11101B","2e Arrondissement",1042129.4296875,121200.251953125,5
"MG11","Analamanga","MG11102","Antananarivo Avaradrano",1291653.95446777,150220.104598999,16
"MG11","Analamanga","MG11103","Ambohidratrimo",953548.813720703,110908.99911499,25
"MG11","Analamanga","MG11104","Ankazobe",187320.408203125,21789.9841918945,15
"MG11","Analamanga","MG11106","Manjakandriana",140426.09173584,16338.9646263123,25
"MG11","Analamanga","MG11107","Anjozorobe",166653.074249268,19434.5676193237,19
"MG11","Analamanga","MG11115","Andramasina",158210.626220703,18436.9820556641,14
"MG11","Analamanga","MG11117","Antananarivo Atsimondrano",641105.086669922,74625.574005127,23
"MG12","Vakinankaratra","MG12108","Antsirabe I",51205.31640625,7675.82421875,1
"MG12","Vakinankaratra","MG12109","Betafo",251248.330566406,37665.7794799805,18
"MG12","Vakinankaratra","MG12110","Ambatolampy",232920.302978516,34912.7948608398,19
"MG12","Vakinankaratra","MG12114","Antanifotsy",322785.673828125,48367.2864379883,14
"MG12","Vakinankaratra","MG12116","Faratsiho",170048.323730469,25495.3704223633,9
"MG12","Vakinankaratra","MG12118","Antsirabe II",628063.579223633,94161.2034606934,20
"MG12","Vakinankaratra","MG12120","Mandoto",197070.620117188,29542.4110107422,9
"MG13","Itasy","MG13105","Arivonimamo",291642.771240234,45647.5565185547,23
"MG13","Itasy","MG13112","Miarinarivo",260569.547851562,40742.5487060547,14
"MG13","Itasy","MG13113","Soavinandriana",176510.584228516,27611.2393188477,16
"MG14","Bongolava","MG14111","Tsiroanomandidy",444695.797851562,58562.5754394531,20
"MG14","Bongolava","MG14119","Fenoarivobe",195405.579589844,25732.5124511719,10
"MG21","Haute Matsiatra","MG21201","Fianarantsoa I",54498.515625,9442.787109375,1
"MG21","Haute Matsiatra","MG21205","Ambalavao",217087.834472656,37616.8193359375,19
"MG21","Haute Matsiatra","MG21208","Ambohimahasoa",178496.783203125,30927.3723449707,18
"MG21","Haute Matsiatra","MG21219","Ikalamavony",155049.665527344,26864.5325927734,8
"MG21","Haute Matsiatra","MG21220","Lalangina",119662.189025879,20734.9418640137,16
"MG21","Haute Matsiatra","MG21224","Vohibato",373993.638671875,64800.706237793,16
"MG21","Haute Matsiatra","MG21225","Isandra",94618.5854492188,16394.2659912109,13
"MG22","Amoron I Mania","MG22202","Ambatofinandrahana",210358.71484375,32975.0029296875,9
"MG22","Amoron I Mania","MG22203","Ambositra",233817.229553223,36669.9526977539,25
"MG22","Amoron I Mania","MG22204","Fandriana",171145.254577637,26825.2477626801,15
"MG22","Amoron I Mania","MG22223","Manandriana",83027.0866699219,13016.7539672852,12
"MG23","Vatovavy","MG23206","Ifanadiana",161412.471191406,28850.7839660645,15
"MG23","Vatovavy","MG23207","Nosy-Varika",288221.044433594,51487.3087158203,19
"MG23","Vatovavy","MG23209","Mananjary",369366.101806641,66088.1610412598,31
