"","elevation","ruggedness","temp_min_cold","temp_mean","temp_seasonality","precip_annual","precip_seasonality","frac_crop","frac_tree","frac_grass","frac_built","frac_water_perm","pop_dens"
"elevation",1,0.381,-0.899,-0.925,0.295,-0.277,0.235,0.522,-0.436,0.239,0.131,-0.254,0.139
"ruggedness",0.381,1,-0.228,-0.39,0,0.095,-0.154,-0.143,0.205,0.055,-0.149,-0.256,-0.126
"temp_min_cold",-0.899,-0.228,1,0.885,-0.628,0.447,-0.213,-0.521,0.527,-0.219,-0.087,0.27,-0.103
"temp_mean",-0.925,-0.39,0.885,1,-0.453,0.076,0.079,-0.491,0.267,-0.061,-0.109,0.234,-0.125
"temp_seasonality",0.295,0,-0.628,-0.453,1,-0.371,-0.173,0.152,-0.232,-0.072,0.006,-0.186,0.028
"precip_annual",-0.277,0.095,0.447,0.076,-0.371,1,-0.698,-0.208,0.598,-0.305,-0.052,0.133,-0.045
"precip_seasonality",0.235,-0.154,-0.213,0.079,-0.173,-0.698,1,0.142,-0.582,0.497,0.065,-0.046,0.053
"frac_crop",0.522,-0.143,-0.521,-0.491,0.152,-0.208,0.142,1,-0.486,-0.128,0.194,0.008,0.213
"frac_tree",-0.436,0.205,0.527,0.267,-0.232,0.598,-0.582,-0.486,1,-0.628,-0.13,0.038,-0.117
"frac_grass",0.239,0.055,-0.219,-0.061,-0.072,-0.305,0.497,-0.128,-0.628,1,-0.198,-0.188,-0.166
"frac_built",0.131,-0.149,-0.087,-0.109,0.006,-0.052,0.065,0.194,-0.13,-0.198,1,0.094,0.757
"frac_water_perm",-0.254,-0.256,0.27,0.234,-0.186,0.133,-0.046,0.008,0.038,-0.188,0.094,1,0.062
"pop_dens",0.139,-0.126,-0.103,-0.125,0.028,-0.045,0.053,0.213,-0.117,-0.166,0.757,0.062,1
