"variable","pct_missing"
"ADM3_PCODE",0
"elevation",0
"ruggedness",0
"temp_mean",0
"temp_seasonality",0
"temp_min_cold",0
"precip_annual",0
"precip_seasonality",0
"cattle_density",0
"travel_time",0
"travel_time_healthcare",0
"nightlights",0
"pop_count",0
"frac_tree",0
"frac_shrub",0
"frac_grass",0
"frac_crop",0
"frac_built",0
"frac_bare",0
"frac_water_perm",0
"frac_wetland",0
"frac_mangrove",0
"ADM1_PCODE",0
"ADM2_PCODE",0
"ADM3_EN",0
"area_km2",0
"lon",0
"lat",0
"pop_total",0
"pop_u5",0
"pop_dens",0
