"","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld"
"(Intercept)",-0.503597905302895,0.0429046960367937,-0.588566365827711,-0.503462139213924,-0.419460923494557,-0.50347927943731,3.355603225563e-08
"elevation",-0.283689725349404,0.316092650847269,-0.924306228336813,-0.277559565360991,0.32274592129969,-0.277522716955128,9.42263242443013e-08
"ruggedness",0.033419995574257,0.0919662235292698,-0.146984325753842,0.0332878790522028,0.214563742210335,0.0332854838718313,1.19004206496794e-08
"temp_min_cold",-0.60006808277548,0.388777416223128,-1.38140575323603,-0.594862124576479,0.152065276661057,-0.594872929798918,6.7746063954469e-08
"temp_seasonality",-0.104190556044923,0.171322822750245,-0.447271415703419,-0.102340812118526,0.228009568404637,-0.10246556989914,4.80815506415756e-08
"precip_annual",0.0291232230062891,0.131953090246267,-0.234259377192144,0.0301766591994868,0.286352626423086,0.0301142786508055,4.90395940314623e-08
"precip_seasonality",-0.117543948637331,0.124517561704428,-0.362346539525437,-0.117673981965525,0.127948543015214,-0.117686201117407,2.71366592552062e-08
"frac_crop",-0.0798762126131597,0.0969470825167598,-0.270038706869974,-0.0800002914186652,0.110997723647416,-0.0799988647941159,9.81947704745134e-09
"frac_built",-0.468079083875611,0.383766675480451,-1.22397244111741,-0.467310044309874,0.283395964456382,-0.467327210288611,5.92072851138855e-09
"frac_water_perm",-0.0846651432554299,0.0743658438122656,-0.231684219557484,-0.0843442706023056,0.0605371315303745,-0.0843433741633472,1.17092118391351e-08
"cattle_density",-0.0172075628227917,0.0661485071729462,-0.147077461124317,-0.0172503132083324,0.112906108091206,-0.0172494919545284,9.49798914926572e-09
"travel_time",-0.126047984464612,0.103857849986006,-0.327851490958029,-0.126947759971407,0.0809437865120378,-0.126919955292778,3.5882650125063e-08
"travel_time_healthcare",-0.0632992420319544,0.0796362915842447,-0.220064097177674,-0.0632187151965257,0.0930127291198223,-0.0632179040252495,1.15870502966702e-08
"nightlights",0.389382803835555,0.386435510553975,-0.369317541603106,0.389278537886096,1.14874913644773,0.389302390681184,5.89371876899802e-09
