"","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld"
"intercept",-0.593214832543155,0.0868050639023263,-0.763349631467412,-0.593214832543155,-0.423080033618897,-0.593214832543155,0
"elevation",-0.0468961431098191,0.213877074089904,-0.466087505444836,-0.0468961431098191,0.372295219225198,-0.0468961431098191,0
"ruggedness",0.0352501591385019,0.0479559446451711,-0.0587417652106299,0.0352501591385019,0.129242083487634,0.0352501591385019,0
"temp_min_cold",-0.351906706184091,0.279897421987973,-0.900495572646128,-0.351906706184091,0.196682160277946,-0.351906706184091,0
"temp_seasonality",-0.097434627825275,0.140406711488138,-0.372626725529733,-0.097434627825275,0.177757469879182,-0.097434627825275,0
"precip_annual",-0.0383434301624346,0.0950932286757973,-0.224722733540629,-0.0383434301624346,0.14803587321576,-0.0383434301624346,0
"precip_seasonality",-0.221362275360468,0.0940769164686197,-0.405749643415545,-0.221362275360468,-0.0369749073053901,-0.221362275360468,0
"frac_crop",-0.0826700798672042,0.0509394656525805,-0.182509597937977,-0.0826700798672042,0.0171694382035687,-0.0826700798672042,0
"frac_built",-0.306726909727233,0.14076837595767,-0.58262785676646,-0.306726909727233,-0.0308259626880048,-0.306726909727233,0
"frac_water_perm",-0.0588866637334183,0.0399773265789599,-0.137240784026375,-0.0588866637334183,0.0194674565595389,-0.0588866637334183,0
"cattle_density",0.0482247269371799,0.0479733106935259,-0.0458012342412812,0.0482247269371799,0.142250688115641,0.0482247269371799,0
"travel_time",-0.0978015012866661,0.0700996565546145,-0.235194303462338,-0.0978015012866661,0.0395913008890054,-0.0978015012866661,0
"travel_time_healthcare",-0.0306047950510542,0.0420532819790927,-0.113027713161783,-0.0306047950510542,0.0518181230596747,-0.0306047950510542,0
"nightlights",0.177256443180113,0.152573309522507,-0.121781748486083,0.177256443180113,0.47629463484631,0.177256443180113,0
