"ADM3_PCODE","ADM3_EN","ADM2_EN","ADM1_EN","est","lower","upper","pop_u5","n_stunted","cum_share"
"MG11102039","Ankadikely Ilafy","Antananarivo Avaradrano","Analamanga",0.518751668569236,0.385822847509318,0.652415866357208,46837.3203125,24296.9380634211,0.0143187431640112
"MG11101005","5e Arrondissement","5e Arrondissement","Analamanga",0.402596477279836,0.328874981108935,0.484365570475317,55130.4921875,22195.341945391,0.0273989675084901
"MG12118010","Ambano","Antsirabe II","Vakinankaratra",0.524950928020333,0.433390198888032,0.616979602175018,36647.828125,19238.3113841484,0.0387365458856441
"MG11102319","Ambohimanga Rova","Antananarivo Avaradrano","Analamanga",0.502644766899113,0.423380783539151,0.594849276548873,26182.916015625,13160.7057174129,0.0464924517752209
"MG11101006","6e Arrondissement","6e Arrondissement","Analamanga",0.431212521256944,0.364807631669508,0.502734406837763,29791.955078125,12846.6640624119,0.054063285710915
"MG52516011","Ambovombe","Ambovombe-Androy","Androy",0.521399711850492,0.440380958742285,0.602305266077072,20202.8515625,10533.7609832458,0.0602710727858326
"MG11102079","Sabotsy Namehana","Antananarivo Avaradrano","Analamanga",0.432799876771381,0.348739510274973,0.518971071261557,23581.3828125,10206.0195753488,0.0662857143281057
"MG31310030","Antetezambaro","Toamasina II","Atsinanana",0.391452793618832,0.292122752052325,0.5006504106499,25717.39453125,10067.1459338555,0.0722185144465911
"MG11103172","Ambatolampy","Ambohidratrimo","Analamanga",0.48442962684567,0.394717601640445,0.577070294606154,17579.880859375,8516.21512469837,0.0772373154486649
"MG12118331","Ambohibary","Antsirabe II","Vakinankaratra",0.601747669941689,0.50465014455273,0.690785265608846,13911.6748046875,8371.31789870721,0.0821707251903778
"MG41415012","Boanamary","Mahajanga II","Boeny",0.341137401078192,0.2455111710104,0.439351879979645,23529.267578125,8026.71319087492,0.0869010514698175
"MG31310010","Toamasina Suburbaine","Toamasina II","Atsinanana",0.407504578966675,0.299005260220689,0.509095196996951,17800.9453125,7253.96672477911,0.0911759805238931
"MG21224070","Talata Ampano","Vohibato","Haute Matsiatra",0.458181009652315,0.377343318846534,0.541778051474191,13883.9375,6361.35650169964,0.0949248738899951
"MG23211011","Ikongo","Ikongo","Fitovinany",0.434068530811866,0.347798703101798,0.528700125123921,14122.109375,6129.96326837073,0.098537401913712
"MG41415011","Belobaka","Mahajanga II","Boeny",0.381282603816793,0.269586069347945,0.492054764551025,16039.88671875,6115.7297730514,0.102141541812009
"MG12114010","Antanifotsy","Antanifotsy","Vakinankaratra",0.587674215243398,0.502272369617464,0.666558009093148,9872.1650390625,5801.61684208437,0.10556056775186
"MG12118110","Andranomanelatra","Antsirabe II","Vakinankaratra",0.529861773965491,0.441889162403508,0.615640096261826,10810.640625,5728.1452192659,0.108936295178367
"MG25214190","Ranomena","Vangaindrano","Atsimo Atsinanana",0.51632355561962,0.414316755219867,0.615368689459454,10551.0517578125,5447.75655912039,0.112146783133125
"MG52516111","Sihanamaro","Ambovombe-Androy","Androy",0.504184253307969,0.403049989242882,0.58741475705838,10790.787109375,5440.54494134549,0.115353021116036
"MG11101002","2e Arrondissement","2e Arrondissement","Analamanga",0.376860096545025,0.309902378700153,0.446661327537523,14275.576171875,5379.89501436867,0.118523516705193
"MG51520050","Betsinjaka","Toliary-II","Atsimo Andrefana",0.284225267377318,0.204328934272308,0.37554701383826,18580.107421875,5280.93599988171,0.121635693476213
"MG12114150","Ambatotsipihina","Antanifotsy","Vakinankaratra",0.627930052064039,0.540869654248473,0.705747262639471,8009.884765625,5029.64735790586,0.124599780083974
"MG11101004","4e Arrondissement","4e Arrondissement","Analamanga",0.387115093178541,0.309327735317489,0.462466186603917,12871.33984375,4982.68992294595,0.12753619359774
"MG11103171","Merimandroso","Ambohidratrimo","Analamanga",0.491675140117728,0.400184386100244,0.584550786867051,9883.7255859375,4859.58216235099,0.130400056883126
"MG33313170","Didy","Ambatondrazaka","Alaotra Mangoro",0.464752833936163,0.369925127759976,0.551908192071721,9950.1865234375,4624.377384961,0.133125308595744
"MG21224250","Soaindrana","Vohibato","Haute Matsiatra",0.473356094012533,0.392422218811938,0.554257956278273,9639.3447265625,4562.84256860594,0.135814296428991
"MG11102079a","Anosy Avaratra","Antananarivo Avaradrano","Analamanga",0.440055496056015,0.357506730964818,0.523522990632011,10240.3583984375,4506.3259948158,0.138469977748367
"MG11103150","Mahitsy","Ambohidratrimo","Analamanga",0.491125209970166,0.400230564882977,0.573320418962556,9010.1728515625,4425.12303359112,0.141077804299258
"MG41401002","Mahabibo","Mahajanga I","Boeny",0.391602525569022,0.272033834563247,0.5214061780404,11217.025390625,4392.61547234059,0.143666473398324
"MG11101001","1er Arrondissement","1er Arrondissement","Analamanga",0.387115093178541,0.309327735317489,0.462466186603917,11056.5234375,4280.14710073854,0.146188862305095
"MG52516130","Antanimora Atsimo","Antanimora Sud","Androy",0.490261617968654,0.402937213945569,0.574127823741431,8635.0751953125,4233.4459365349,0.148683729144107
"MG25213551","Ihorombe","Farafangana","Atsimo Atsinanana",0.491650027661913,0.407172489614658,0.575915141195137,8605.6982421875,4230.99177882156,0.151177149691662
"MG14111030","Tsiroanomandidy Fihaonana","Tsiroanomandidy","Bongolava",0.34816860569371,0.272953819231119,0.4305368651331,12101.853515625,4213.48546484467,0.153660253366657
"MG52516170","Jafaro","Antanimora Sud","Androy",0.42742746947781,0.337002320785267,0.519920917062894,9815.75,4195.52118352682,0.156132770278429
"MG11103390","Ambato","Ambohidratrimo","Analamanga",0.512526366106375,0.420775292988507,0.606785726080809,8157.0048828125,4180.68007089985,0.158596540981958
"MG52516031","Ambanisarika","Ambovombe-Androy","Androy",0.543065212376811,0.454131254076259,0.634823733038858,7453.40576171875,4047.68538291834,0.160981934863913
"MG51507010","Ampanihy Ouest","Ampanihy Ouest","Atsimo Andrefana",0.314515669001529,0.231895883213148,0.407496375246976,12703.2890625,3995.383458012,0.163336506021302
